Symbol,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Strategy
TSLA,2025-05-12 10:57:26.309361,317.8707,2025-05-12 10:58:32.506066,317.48,-0.39,Breakout
MSFT,2025-05-12 10:57:27.059929,444.12,2025-05-12 10:58:28.143962,444.055,-0.06,Breakout
TSLA,2025-05-12 10:58:27.212454,317.465,2025-05-12 10:59:33.413089,317.25,-0.21,Breakout
MSFT,2025-05-12 10:58:27.961187,444.055,2025-05-12 10:58:33.262632,444.01,-0.05,Breakout
TSLA,2025-05-12 10:58:32.328491,317.48,2025-05-12 10:59:38.000118,317.3,-0.18,Breakout
MSFT,2025-05-12 10:58:33.075816,444.01,2025-05-12 10:59:34.189219,443.815,-0.19,Breakout
TSLA,2025-05-12 10:59:33.223005,317.25,2025-05-12 11:00:39.389163,317.67,0.42,Breakout
MSFT,2025-05-12 10:59:33.994111,443.815,2025-05-12 10:59:38.740604,443.86,0.05,Breakout
TSLA,2025-05-12 10:59:37.818784,317.3,2025-05-12 11:00:44.113719,317.5801,0.28,Breakout
MSFT,2025-05-12 10:59:38.561248,443.86,2025-05-12 11:00:40.153393,443.87,0.01,Breakout
TSLA,2025-05-12 11:00:39.192947,317.67,2025-05-12 11:01:45.405730,318.264,0.59,Breakout
MSFT,2025-05-12 11:00:39.967934,443.87,2025-05-12 11:00:44.875541,443.875,0.0,Breakout
TSLA,2025-05-12 11:00:43.932744,317.5801,2025-05-12 11:01:49.734792,318.2,0.62,Breakout
MSFT,2025-05-12 11:00:44.695561,443.875,2025-05-12 11:01:46.162916,444.17,0.3,Breakout
TSLA,2025-05-12 11:01:45.223987,318.264,2025-05-12 11:02:50.395164,318.27,0.01,Breakout
MSFT,2025-05-12 11:01:45.975838,444.17,2025-05-12 11:01:50.577994,444.1,-0.07,Breakout
TSLA,2025-05-12 11:01:49.527335,318.2,2025-05-12 11:02:55.718808,318.391,0.19,Breakout
MSFT,2025-05-12 11:01:50.394442,444.1,2025-05-12 11:02:51.154379,444.085,-0.02,Breakout
TSLA,2025-05-12 11:02:50.209888,318.27,2025-05-12 11:03:56.465729,318.1941,-0.08,Breakout
MSFT,2025-05-12 11:02:50.966234,444.085,2025-05-12 11:02:56.460926,444.1745,0.09,Breakout
TSLA,2025-05-12 11:02:55.534106,318.391,2025-05-12 11:04:01.444293,318.2999,-0.09,Breakout
MSFT,2025-05-12 11:02:56.277299,444.1745,2025-05-12 11:03:57.267783,444.17,-0.0,Breakout
TSLA,2025-05-12 11:03:56.276080,318.1941,2025-05-12 11:04:44.307374,317.991,-0.2,Breakout
MSFT,2025-05-12 11:03:57.079974,444.17,2025-05-12 11:04:02.233397,444.16584,-0.0,Breakout
TSLA,2025-05-12 11:04:01.263175,318.2999,2025-05-12 11:05:45.102839,318.02,-0.28,Breakout
MSFT,2025-05-12 11:04:02.054674,444.16584,2025-05-12 11:04:45.112353,444.2501,0.08,Breakout
TSLA,2025-05-12 11:04:44.119987,317.991,2025-05-12 11:05:49.669342,318.05,0.06,Breakout
MSFT,2025-05-12 11:04:44.920379,444.2501,2025-05-12 11:05:45.857941,444.1508,-0.1,Breakout
TSLA,2025-05-12 11:05:44.907598,318.02,2025-05-12 11:06:50.386831,317.01,-1.01,Breakout
MSFT,2025-05-12 11:05:45.679543,444.1508,2025-05-12 11:05:50.447073,444.08,-0.07,Breakout
TSLA,2025-05-12 11:05:49.482034,318.05,2025-05-12 11:06:55.834553,317.0996,-0.95,Breakout
MSFT,2025-05-12 11:05:50.254457,444.08,2025-05-12 11:29:55.136420,443.735,-0.34,Breakout
TSLA,2025-05-12 11:06:50.201129,317.01,2025-05-12 11:07:56.381026,317.48,0.47,Breakout
TSLA,2025-05-12 11:06:55.651110,317.0996,2025-05-12 11:08:01.117318,317.27,0.17,Breakout
TSLA,2025-05-12 11:07:56.194882,317.48,2025-05-12 11:09:02.483134,317.52,0.04,Breakout
TSLA,2025-05-12 11:08:00.932415,317.27,2025-05-12 11:09:05.945845,317.495,0.23,Breakout
TSLA,2025-05-12 11:09:02.201512,317.52,2025-05-12 11:10:06.319191,317.52,0.0,Breakout
TSLA,2025-05-12 11:09:05.759040,317.495,2025-05-12 11:10:10.466612,317.55,0.06,Breakout
TSLA,2025-05-12 11:10:06.141976,317.52,2025-05-12 11:11:11.371030,317.4899,-0.03,Breakout
TSLA,2025-05-12 11:10:10.292169,317.55,2025-05-12 11:11:15.744598,317.25,-0.3,Breakout
TSLA,2025-05-12 11:11:11.193812,317.4899,2025-05-12 11:12:16.409665,317.68,0.19,Breakout
TSLA,2025-05-12 11:11:15.560556,317.25,2025-05-12 11:12:20.932645,317.67,0.42,Breakout
TSLA,2025-05-12 11:12:16.230735,317.68,2025-05-12 11:13:22.367047,318.0622,0.38,Breakout
TSLA,2025-05-12 11:12:20.753874,317.67,2025-05-12 11:13:26.479403,317.9873,0.32,Breakout
TSLA,2025-05-12 11:13:22.188046,318.0622,2025-05-12 11:14:27.361800,318.5,0.44,Breakout
TSLA,2025-05-12 11:13:26.299717,317.9873,2025-05-12 11:14:32.114197,318.5,0.51,Breakout
TSLA,2025-05-12 11:14:27.179714,318.5,2025-05-12 11:15:33.422093,318.0459,-0.45,Breakout
TSLA,2025-05-12 11:14:31.936079,318.5,2025-05-12 11:15:37.763924,318.0027,-0.5,Breakout
TSLA,2025-05-12 11:15:33.240321,318.0459,2025-05-12 11:16:42.014668,318.0699,0.02,Breakout
TSLA,2025-05-12 11:15:37.595328,318.0027,2025-05-12 11:17:43.501526,318.28,0.28,Breakout
TSLA,2025-05-12 11:16:41.832606,318.0699,2025-05-12 11:17:46.700316,318.2559,0.19,Breakout
TSLA,2025-05-12 11:17:43.310623,318.28,2025-05-12 11:18:00.453686,317.83,-0.45,Breakout
TSLA,2025-05-12 11:17:46.523780,318.2559,2025-05-12 11:19:01.363966,318.6232,0.37,Breakout
TSLA,2025-05-12 11:18:00.265125,317.83,2025-05-12 11:19:04.812783,318.6915,0.86,Breakout
TSLA,2025-05-12 11:19:01.180083,318.6232,2025-05-12 11:20:05.392412,318.5218,-0.1,Breakout
TSLA,2025-05-12 11:19:04.625378,318.6915,2025-05-12 11:20:10.125026,318.38,-0.31,Breakout
TSLA,2025-05-12 11:20:05.222112,318.5218,2025-05-12 11:21:11.368073,318.69,0.17,Breakout
TSLA,2025-05-12 11:20:09.949484,318.38,2025-05-12 11:21:16.015193,318.6949,0.31,Breakout
TSLA,2025-05-12 11:21:11.186633,318.69,2025-05-12 11:22:17.428922,318.805,0.12,Breakout
TSLA,2025-05-12 11:21:15.835086,318.6949,2025-05-12 11:22:21.448286,318.78,0.09,Breakout
TSLA,2025-05-12 11:22:17.237262,318.805,2025-05-12 11:23:22.483453,318.54,-0.26,Breakout
TSLA,2025-05-12 11:22:21.252432,318.78,2025-05-12 11:23:27.184010,318.49,-0.29,Breakout
TSLA,2025-05-12 11:23:22.288503,318.54,2025-05-12 11:24:28.700605,318.47,-0.07,Breakout
TSLA,2025-05-12 11:23:27.000417,318.49,2025-05-12 11:24:31.957340,318.5885,0.1,Breakout
TSLA,2025-05-12 11:24:28.513617,318.47,2025-05-12 11:25:33.391333,318.8692,0.4,Breakout
TSLA,2025-05-12 11:24:31.776358,318.5885,2025-05-12 11:25:37.650844,318.99,0.4,Breakout
TSLA,2025-05-12 11:25:33.205206,318.8692,2025-05-12 11:26:38.431364,319.1601,0.29,Breakout
TSLA,2025-05-12 11:25:37.468691,318.99,2025-05-12 11:26:43.330761,319.201,0.21,Breakout
TSLA,2025-05-12 11:26:38.231116,319.1601,2025-05-12 11:27:44.439023,319.73,0.57,Breakout
TSLA,2025-05-12 11:26:43.150772,319.201,2025-05-12 11:27:48.866377,319.825,0.62,Breakout
TSLA,2025-05-12 11:27:44.243857,319.73,2025-05-12 11:28:49.680466,319.9001,0.17,Breakout
TSLA,2025-05-12 11:27:48.685262,319.825,2025-05-12 11:28:53.925040,319.86,0.04,Breakout
TSLA,2025-05-12 11:28:49.435230,319.9001,2025-05-12 11:29:54.403428,319.69,-0.21,Breakout
TSLA,2025-05-12 11:28:53.731322,319.86,2025-05-12 11:30:54.352795,319.74,-0.12,Breakout
TSLA,2025-05-12 11:29:54.219159,319.69,2025-05-12 11:30:59.812001,319.65,-0.04,Breakout
MSFT,2025-05-12 11:29:54.962840,443.735,2025-05-12 11:30:55.084572,443.81,0.07,Breakout
TSLA,2025-05-12 11:30:54.186035,319.74,2025-05-12 11:32:04.931510,319.97,0.23,Breakout
MSFT,2025-05-12 11:30:54.898132,443.81,2025-05-12 11:31:00.550956,443.85,0.04,Breakout
TSLA,2025-05-12 11:30:59.628034,319.65,2025-05-12 11:32:19.925210,319.905,0.25,Breakout
MSFT,2025-05-12 11:31:00.383169,443.85,2025-05-12 11:32:05.676652,443.785,-0.06,Breakout
TSLA,2025-05-12 11:32:04.747403,319.97,2025-05-12 11:33:20.632345,319.949,-0.02,Breakout
MSFT,2025-05-12 11:32:05.506306,443.785,2025-05-12 11:32:20.678394,443.82,0.03,Breakout
TSLA,2025-05-12 11:32:19.745507,319.905,2025-05-12 11:33:23.448977,319.97,0.07,Breakout
MSFT,2025-05-12 11:32:20.501468,443.82,2025-05-12 11:33:21.367740,443.84,0.02,Breakout
TSLA,2025-05-12 11:33:20.443239,319.949,2025-05-12 11:33:55.708476,319.4385,-0.51,Breakout
MSFT,2025-05-12 11:33:21.182643,443.84,2025-05-12 11:33:24.181456,443.88,0.04,Breakout
TSLA,2025-05-12 11:33:23.271846,319.97,2025-05-12 11:34:09.746286,319.5943,-0.38,Breakout
MSFT,2025-05-12 11:33:24.005190,443.88,2025-05-12 11:33:56.607632,443.8,-0.08,Breakout
TSLA,2025-05-12 11:33:55.378400,319.4385,2025-05-12 11:34:24.307009,319.7558,0.32,Breakout
MSFT,2025-05-12 11:33:56.277294,443.8,2025-05-12 11:34:10.528815,443.705,-0.1,Breakout
TSLA,2025-05-12 11:34:09.568933,319.5943,2025-05-12 11:35:13.556977,319.347,-0.25,Breakout
MSFT,2025-05-12 11:34:10.343346,443.705,2025-05-12 11:34:25.117432,443.78,0.07,Breakout
TSLA,2025-05-12 11:34:24.100502,319.7558,2025-05-12 11:35:33.596363,319.49,-0.27,Breakout
MSFT,2025-05-12 11:34:24.932412,443.78,2025-05-12 11:35:14.266214,443.8,0.02,Breakout
TSLA,2025-05-12 11:35:13.384984,319.347,2025-05-12 11:35:44.368810,319.465,0.12,Breakout
MSFT,2025-05-12 11:35:14.102117,443.8,2025-05-12 11:35:34.324981,443.88,0.08,Breakout
TSLA,2025-05-12 11:35:33.423615,319.49,2025-05-12 11:35:46.424360,319.4579,-0.03,Breakout
MSFT,2025-05-12 11:35:34.150917,443.88,2025-05-12 11:35:49.096828,443.875,-0.0,Breakout
TSLA,2025-05-12 11:35:44.188828,319.465,2025-05-12 11:35:48.312008,319.46,-0.0,Breakout
MSFT,2025-05-12 11:35:44.946220,443.91,2025-05-12 11:36:15.050905,443.92,0.01,Breakout
TSLA,2025-05-12 11:35:46.241936,319.4579,2025-05-12 11:36:14.299159,319.505,0.05,Breakout
TSLA,2025-05-12 11:35:48.131089,319.46,2025-05-12 11:36:51.944473,320.205,0.75,Breakout
MSFT,2025-05-12 11:35:48.896247,443.875,2025-05-12 11:36:52.680000,444.035,0.16,Breakout
TSLA,2025-05-12 11:36:14.100723,319.505,2025-05-12 11:37:52.680238,320.665,1.16,Breakout
MSFT,2025-05-12 11:36:14.858556,443.92,2025-05-12 11:37:53.466570,444.13,0.21,Breakout
TSLA,2025-05-12 11:36:51.761036,320.205,2025-05-12 11:37:55.388188,320.5501,0.35,Breakout
MSFT,2025-05-12 11:36:52.499949,444.035,2025-05-12 11:37:56.104986,443.98,-0.06,Breakout
TSLA,2025-05-12 11:37:52.490146,320.665,2025-05-12 11:38:56.212815,320.465,-0.2,Breakout
MSFT,2025-05-12 11:37:53.293566,444.13,2025-05-12 11:38:56.955496,443.8264,-0.3,Breakout
TSLA,2025-05-12 11:37:55.204021,320.5501,2025-05-12 11:38:58.933750,320.56,0.01,Breakout
MSFT,2025-05-12 11:37:55.928358,443.98,2025-05-12 11:38:59.794590,443.83,-0.15,Breakout
